 Structure Age Ascl1 Bdnf Creb1 Cux2 Fez1 Hes1 Mef2c Myt1l Neurod1 Neurog1 Neurog2 Nog Olig2 Otx1 Otx2 Pax3 Pax5 Pax6 Pou3f2 Pou4f2 Prox13 Satb2 Sox10 Sox11 Sox12 Sox2 Sox3 Sox4 Sox5 Sox6 Sox7 Sox8 Sox9 Stat3
3 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
4 0 6.82418 0.0118776 0.327503 3.03977 5.38314 0.975885 0.128941 0.0163937 1.55402 1.65978 21.0785 0.239017 0.673492 0.26262 22.9151 2.10731 0.0136861 6.87708 25.8061 0.03165 -1 0.0699184 0.023639 7.66431 2.96841 16.0471 3.73842 9.22112 0.511084 0.0973879 0.0693029 0.0180724 0.307231 0.164645
4 1 1.40543 0.0163466 0.171478 0.686693 6.7508 3.52023 0.0931833 0.85044 2.10513 1.24375 9.36027 0.0127602 0.097009 0.428014 15.0721 0.142364 0.026565 5.70738 6.7114 0.00347316 -1 0.0200003 0.00586345 0.733816 0.501106 10.6718 2.82014 5.38297 0.602702 0.414219 0.390224 0.0720895 0.374225 0.0391404
4 2 0.514675 0.0527308 0.0856441 0.448952 6.90515 0.104891 0.0513523 4.09449 1.3708 0.00751372 5.90613 0.00541988 0.623101 0.201731 3.28716 0.0534321 0.283716 6.25538 10.4803 0.00540541 -1 0.184928 0.0130886 0.429199 3.41216 10.2063 0.175786 5.93344 1.24162 0.147171 0.00487449 0.0453403 0.084719 0.106839
4 3 0.446068 0.439969 0.0134255 2.72245 5.41302 0.803104 0.875325 6.32458 2.22464 0.129913 1.3972 0.0351999 2.69928 0.0538904 3.58922 0.0370851 0.232195 1.92964 7.64579 0.0328738 -1 1.64046 0.526 1.27602 2.44787 5.68852 0.0075731 0.0927017 0.582926 0.119991 0.105719 0.349881 0.363916 0.111696
4 4 0.0704814 0.105026 0.0474061 5.10942 14.0725 0.22158 0.690167 5.55329 1.21954 0.249139 2.86421 0.250268 4.28781 0.0273981 0.866331 0.17621 0.177204 2.09633 15.1065 0.0208069 -1 0.848163 0.162851 0.520653 7.56327 2.80122 0.145289 3.43213 6.6324 0.0176802 0.0138635 0.512926 0.0457158 0.375471
4 5 0.855626 2.38155 0.252707 5.43565 11.4296 0.0976161 2.23531 9.61591 0.992446 0.188592 0.829524 5.69069 4.56011 0.495846 1.48843 0.016442 0.0143846 0.68355 12.4473 0.0599862 -1 2.1807 6.66923 0.758224 1.91053 3.98942 -1 1.87986 1.68588 1.77763 1.0926 7.08237 0.0196772 1.57299
4 6 0.88497 0.967962 0.0404009 4.99083 13.2084 0.0171801 4.30666 8.86688 0.299417 0.0719132 0.103569 0.363493 1.30247 0.0286504 0.653564 0.031096 0.0457779 0.426644 9.19661 0.0348942 -1 0.0497539 7.15854 0.0321322 3.23696 5.27041 0.496754 0.439324 2.44372 0.103712 0.0933496 4.91437 0.0123447 1.16158
4 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
5 0 14.0337 0.0449079 0.171218 5.00045 5.84333 0.256359 0.123899 0.0720774 1.9949 1.05599 16.6422 0.522412 0.64427 0.354909 20.7282 3.05497 0.0158106 7.79126 37.6392 0.0127995 -1 0.167283 0.0106746 7.88966 3.54801 8.76805 5.94147 14.8091 0.890427 0.137514 0.457689 0.0402799 0.84094 0.156687
