Structure Depth Age Ascl1 Bdnf Creb1 Cux2 Fez1 Hes1 Mef2c Myt1l Neurod1 Neurog1 Neurog2 Nog Olig2 Otx1 Otx2 Pax3 Pax5 Pax6 Pou3f2 Pou4f2 Prox13 Satb2 Sox10 Sox11 Sox12 Sox2 Sox3 Sox4 Sox5 Sox6 Sox7 Sox8 Sox9 Stat3
5 2 1 6.84355 0.0120304 0.591733 0.990026 21.9474 0.748493 0.402595 3.2546 0.342579 2.1762 1.00716 0.0507045 0.0726445 0.885822 17.1714 2.6093 0.842987 0.938523 16.258 0.0596879 -1 0.0892601 0.00838813 2.28066 0.82043 11.6344 1.23199 6.84192 0.385053 1.25666 0.403718 0.356965 0.438414 0.0180164
5 2 2 1.33985 0.0437133 0.439151 0.551183 13.4283 0.255033 0.470513 8.4901 0.142934 0.185626 0.556279 0.0239738 0.621154 0.283512 10.9075 1.80529 2.41078 0.890744 23.8636 0.280027 -1 0.0892179 0.0210651 0.879069 3.74744 1.43623 0.503283 5.01403 0.24809 0.394189 0.00881055 0.143614 0.143621 0.075593
5 2 3 0.6034 0.392707 0.027767 2.74756 10.9241 1.26571 0.437672 10.9301 1.12811 0.37078 0.792906 0.0657007 2.29586 0.0880515 14.6169 0.114136 1.25899 1.64307 13.7293 0.50542 -1 1.98064 0.788458 2.88944 2.42566 4.67304 0.0395625 0.144949 0.0647374 0.535354 0.167556 0.570864 0.861592 0.132889
5 2 4 0.135135 0.0849645 0.0601694 5.61087 20.4707 0.359936 1.32552 7.34555 1.46042 0.878687 2.30595 0.227871 3.74738 0.245835 4.95144 0.898968 0.94104 1.41446 21.8438 0.403175 -1 5.76468 0.149119 0.292555 7.21274 1.125 0.388221 5.71528 3.5349 0.0598586 0.0327055 0.468938 0.216055 0.66895
5 2 5 1.74736 1.28159 0.259564 4.91723 13.4722 0.137865 0.944005 8.91955 1.67558 1.07788 1.09147 3.31338 5.60317 0.712185 4.31076 0.0332925 0.0377021 1.0714 16.3464 0.304219 -1 2.76277 6.82859 0.809247 1.92507 2.74217 -1 2.11813 0.826388 2.3518 1.07115 7.2556 0.0847419 1.51662
5 2 6 0.75683 0.422041 0.0749859 2.70095 16.2567 0.0141642 2.17363 7.35955 1.05823 0.277971 0.110405 0.180727 2.0851 0.0535487 2.06316 0.0433056 0.160702 0.086829 10.5291 0.155003 -1 0.155216 7.6582 0.0413457 3.15781 4.82135 0.407555 0.396427 1.38801 0.0617537 0.112795 5.08741 0.0225141 1.04478
5 2 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
6 3 0 5.5382 0.0831029 0.191264 6.20871 6.36343 0.911826 0.629621 0.267041 1.04927 2.79497 4.15432 0.489728 0.209881 0.0683511 0.216341 5.5786 0.0810463 0.855329 18.0732 0.0266265 -1 0.093897 1.78278 8.56822 2.94241 11.0067 4.95108 12.5933 0.766354 0.0848749 0.157673 0.01896 4.12469 0.655177
6 3 1 1.98076 0.020053 0.254294 2.67709 12.8945 1.7296 0.109254 4.07663 1.08137 0.530158 0.700539 0.0463833 0.295865 0.116393 8.08526 1.10893 0.104693 3.10103 11.0691 0.00997638 -1 0.0336355 0.053545 0.838402 0.652655 13.1406 0.646756 3.11517 0.607329 0.361913 0.314353 0.410565 0.704101 0.245329
6 3 2 0.351278 0.159584 0.158847 1.3325 12.4624 0.179325 0.487499 7.97451 0.432576 0.0675493 0.173861 0.0929331 0.795161 0.0581424 1.66298 0.769387 0.0632501 2.49806 14.0501 0.0657344 -1 0.0708997 0.0882901 0.298725 4.74885 1.21569 0.456871 3.53345 0.376637 0.155523 0.0112205 0.422836 0.0440132 0.641094
